',Tweet,Polaridade,Localizacao
juceliofbarros2,"RT @edmilsonpapo10: Bolsonaro foi bem demais!
Mto melhor que eu esperava 
Excelente!
Bolsonaro falou como a maioria dos cidadãos trabalhado…",Positivo,"São Paulo, Brasil"
mfsaless,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,
carollneves_,RT @annauchoa_: Mais uma prova de que a Barra tem que acabar https://t.co/SJciZrniXk,Neutro,Rio de Janeiro
JustCarol10,@Desesquerdizada Foi bommmmmm demaissssssss 😂😂😂😂😂. Mito #BolsonaroNoJornalNacional,Positivo,
lorsfe,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",Neutro,📢 Ative o 🔔 das notificações
lolaescreva,"RT @samiabomfim: A derrota de Jair Bolsonaro virá da resistência das mulheres. Nesse vídeo, mostro alguns motivos que nos fazem detestar es…",Negativo,Fortaleza - CE
Darthmau1,"RT @JoHnNy_RoCk1: #BolsonaroNoJornalNacional Comunidades???
A violência já desceu das favelas faz tempo, querem que os policiais enfrentem…",Positivo,Republiqueta = Brasil 
LeoXFerreira,"""Exiatem gays e lésbicas,  pais de família que concorda comigo"" #BolsonaroNoJornalNacional https://t.co/xyY9zhKb94",Neutro,Brasil
rrafhasouza,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,sscp 
Osiassantosalv1,"RT @Desesquerdizada: Resumo de #BolsonaroNoJornalNacional: anunciou o apartamento, cutucou Bonner pelo divórcio, jogou na cara da Renata qu…",Neutro,"sp, Brasil"
lampyao,"RT @Camzthay: Mano, EU ODEIO O BOLSONARO

Mas amo meu país.
E em 2015 prometi pra mim mesma q votaria em candidato que:

-Não fosse citado…",Positivo,
findlelo,RT @kimpkat: Será que Bolsonaro tocou no tema casamento de propósito? Rs#BolsonaroNoJornalNacional,Neutro,Brasília - DF
Teresa01314,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",Neutro,
FABIANOJCAMARGO,"RT @JOAQUIMTEIXEIA: BOLSONARO,
AO VIVO,
no JORNAL NACIONAL:

- falou que a GLOBO é sustentada pelo Estado
- falou da desigualdade salarial…",Neutro,"Belo Horizonte, Brasil"
wagnercurado,RT @domlancellotti: #BolsonaroNoJornalNacional Esse Ministro Barroso aceitando denúncia infundada de racismo contra o Bolsonaro nem parece…,Neutro,
peoplejesss,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,Rio de Janeiro
gersondaluz2011,"RT @lovatosovereign: Eu tô só o Harry Potter:
Bolsonaro não
Bolsonaro não 
Bolsonaro não 
Bolsonaro não 
#Eleições2018 #EleNão",brasil,
scostallat,RT @LadradeCelular: Sobre o tema da violência: Só pra lembrar o @realwbonner que o jornalista da @RedeGlobo Tim Lopes virou churrasco na mã…,Neutro,
Glossofobico,"RT @WORD_NEWSS: Noblat não Critica Bolsonaro e família chama ambulância.
#BolsonaroNoJornalNacional https://t.co/OW0J6CXHpA",Neutro,um mundo sem jovens
campos_agnaldo,"RT @vaIehomossexuaI: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bo…",Neutro,"Capão Redondo, São Paulo"
_HAGANEno,"RT @lawaer: Na próxima vez que um tio vier a me perguntar de salário, vou trocar o 'quer pagar meu IR' pela linda citação da Renata Vasconc…",Neutro,
supersadloch,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,em algum lugar f1
VanCsgomes,"RT @professorigor: Bolsonaro deixou claro que a Globo recebe tanto dinheiro do governo federal que é quase um braço midiático estatal!
#Bol…",Positivo,"São Paulo, Brasil"
sarahasilva54,RT @selenawigs: renata o brasil te ama #BolsonaroNoJornalNacional https://t.co/cf2mLM9y4H,Negativo,"São Gonçalo, Brasil"
Hetero__,"RT @Lesbicando1995: bolsonaro é a favor da tortura e armamento, racista, machista, homofóbico, despreza a cultura indígena, quer limitar qu…",Negativo,"Vila Velha, Brasil"
marcelosousamm,"RT @Aames_Oliveira: Renata Vasconcellos: ""Não, candidato! Por favor, não mostre esse livro escolar! Tem criança assistindo!""
#BolsonaroNoJo…",Neutro,"Brasília, Brasil"
SHOTSREINANDO,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",Negativo,29/06/15
Rearu_Fantasy_,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",Negativo,São Paulo - Brasil
myqueens1,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Neutro,
mcqueenroses,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,brazil
queen_ventress,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,51 Area
juliaabuarque,Exatamente!,Neutro,"Maceió, Brasil 🌴☀🌊"
wagnercurado,"RT @SPD_33: 🔰""Num fala que eu ganho menos que o Bonner... Ain ain ain...""
🤣Rs😂Rs🤣 

BOLSONARO DETONOU O JN‼️

#BolsonaroNoJornalNacional ht…",Positivo,
biancadom_,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
Francis10085180,"RT @Pedro_henriqz: Nao tenho vergonha de ser gay e apoiar o bolsonaro, eu vim de uma família tradicional brasileira, e apoio esses valores…",Positivo,
marimosi,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,"Joinville, Brasil"
caiomaia03,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",Negativo,"Macaé, Rio de Janeiro"
bestyIes,"RT @Brellasker: alguém sabe me dizer se essa imagem é real?

#BolsonaroNoJornalNacional https://t.co/yQURW9cKWM",Neutro,
Dmartello12,"RT @pauloap: DÊ RT PARA ESPALHAR O LIVRO CENSURADO PELA GLOBO

Bolsonaro não pôde mostrar este livro no Jornal Nacional, mas as crianças re…",Neutro,
elflopada,"RT @jovensreacinhas: Quem liga para economia, emprego e saúde?

A gente quer saber é de um ""kit gay"" que nunca saiu do papel!

O país não p…",Neutro,
blencarvalho,"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",Neutro,roça 
byuntterfIy,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",Neutro,fan account.
CamSeImporta,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,in a purple bubble
suydias_,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
jacquietequila,"RT @Camzthay: Mano, EU ODEIO O BOLSONARO

Mas amo meu país.
E em 2015 prometi pra mim mesma q votaria em candidato que:

-Não fosse citado…",Positivo,vai p cima deles mengao!!
Eliseubdossant2,"RT @BonoroPistola: #BolsonaroNoJornalNacional

""Jamais aceitaria ganhar menos que o Bonner""

Renata Vasconcellos https://t.co/oirMiDsjgV",Neutro,"Rio de Janeiro, Brasil"
maiarasanguedo,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,Brazil
rafaboaventura_,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,
_Greta254,RT @withyouts: “eu não sou homofóbico mas tá errado homem com homem” e com essa frase eu encerro o dia de hoje muito obrigada #BolsonaroNoJ…,Positivo,
brunarizzolo,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
PedroProux,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,
dressaribeiro_,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,"bsb
"
Ani_cw,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,"Balneário Camboriú, Brasil"
JosCarl34494168,"RT @kiadons: #BolsonaroNoJornalNacional
Podem chamar ele de tudo, menos de corrupto. Ele não é o melhor candidato, mas sim o único que pode…",Positivo,"Estância, Brasil"
estragapraz,RT @SchuldinerSieg: Fiquem ligados porque o julgamento da ação que aceita o pedido de ação contra o Jair Bolsonaro sobre racismo tá empatad…,Neutro,Curitiba
samicar_,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,
MiihhNogueira,RT @deamartinelli: renata vasconcellos: “poderia questionar o salário do senhor porque o senhor exerce um cargo público(...). meu salário n…,Neutro,Localiza Ai 
Vicpicinatti,"RT @SaabBrasil: #BolsonaroNoJornalNacional 
Uma pergunta:
Todos sabemos que Renata ganha 5x ou 4x menos que Bonner, 

""Se o salário da Rena…",Neutro,
Dannileiras,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",Neutro,"Sobradinho, Brasil"
leitecarolmm,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,"Recife, Brasil"
leebeatriz3,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",Neutro,"Rio de Janeiro, Brasil"
AnisterjaneFerr,"RT @VRetorno: 23:59 - ""Você deve interferir na diferença salarial entre homens e mulheres na iniciativa privada""

00:00 - ""Mas você e o Bon…",Neutro,Belo Horizonte MG
LarahPassarelli,"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",Neutro,Brazil
lulu_felipes,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Neutro,Brazil
Saara_Souzza,RT @olvbruna: Quanto mais o tempo passa mais eu tenho certeza que nunca votaria em Bolsonaro #BolsonaroNoJornalNacional https://t.co/Cc6qFu…,Negativo,"Centro, Nilópolis"
_Gabriellereiss,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,
jpalmeida628,"RT @Salomaoalves0: Tem certeza Ibope que ele, Bolsonaro, está só com 20% de eleitores? https://t.co/Z0A3UWJKgN",Neutro,"Minas Gerais, Brasil"
NiBarga,RT @rick0800: Essa parte da entrevista Jair Bolsonaro leva a entrevistadora e a rede Globo a um knock dow e uma suspirada de ódio do Willia…,Neutro,
daanny_sant,RT @diImabr: Precisamos tombar esse momento da TV Brasileira como Patrimônio Histórico da Humanidade. Alô @UN!!! #BolsonaroNoJornalNacional…,Neutro,"Salvador, Brasil"
celsorenato5,"RT @SimoneRJ_BR: #BolsonaroNoJornalNacional Sobre diferença salarial entre homens e mulheres, TRAMONTINOU:👇 https://t.co/g2bG5fYqGr",Neutro,Estados Unidos
AndreGarcia11,RT @JoelAlexandreM: Os cortes rápidos com oferecimento Tramontina não faltaram na entrevista para o Jornal Nacional #BolsonaroNoJornalNacio…,Neutro,RS
carollisaaa,"RT @professorigor: Lógica familiar da lacrosfera

#BolsonaroNoJornalNacional https://t.co/J9YN5UrdT6",Neutro,"Teresina, Brasil"
jeonxlevi,não acredito que to presa nesse tweet puta que pariu as pessoas são ignorantes demais caraaaaaa,Neutro,#1 Taehyung stan since 9/3/15
camilaolive94,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Neutro,"Belo Horizonte, Brasil"
Lari_garc,"RT @Ca_Mayorgap: É muito triste ver pessoas idolatrando o Bolsonaro, achando que com uma arma na mão vai acabar com todos os problemas. 

#…",Negativo,"Petrópolis, Brasil"
lgbtqehyun,"RT @shawnwitness: ""aí você entra na sala e vê seu filho brincando com uma boneca""
qual o problema de um menino brincar com uma boneca? se e…",Neutro,ᴷᴴᴴ/ ᴴᴿᴺᴮ 
kantynho00,"RT @pauloap: GLOBO CENSURA O KIT GAY AO VIVO

MAS ISSO VAI PRA ESCOLA DOS SEUS FILHOS

SÓ BOLSONARO VAI EVITAR ISSO

#BolsonaroNoJornalNaci…",Positivo,"São José dos Campos, Brasil"
limaish,fui ler as respostas disso aqui nao sei pra que. essa galera realmente entende as coisas pela metade so o que convem,Neutro,"São Luís, Brazil"
Dudasalim2,RT @munirnege: renata vasconcellos comendo o cu do bozonaro #BolsonaroNoJornalNacional https://t.co/hq6G7WMEtY,Negativo,
acmalutta,"RT @SatilAndrew: Povo falando sobre a Renata pagar o salário de políticos, mas não fala que a Rede Globo recebe dinheiro de partidos políti…",Neutro,São Paulo
PescadorMc,RT @pqpasylum: 🌸tweet para apreciar e enaltecer a beleza da mulher que matou o bozonaro essa noite🌸 #bolsonaronojornalnacional https://t.co…,Negativo,"Goiânia, Brasil"
rafaella_alvesi,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Neutro,
reasonellen,"RT @Lesbicando1995: bolsonaro é a favor da tortura e armamento, racista, machista, homofóbico, despreza a cultura indígena, quer limitar qu…",Negativo,
badhesgirl,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Neutro,
MiihhNogueira,"RT @LannesDelRey: O Brasil viu o quanto Bolsonaro é machista ao momento que foi falar que Renata recebia menos q william Bonner.

Simplesme…",Negativo,Localiza Ai 
violettaekook,"RT @cmxlish: bolsonaro falando sobre homossexualidade e ele mudando assunto com assuntos de 2010 e livro para ""crianças"" #BolsonaroNoJornal…",Negativo,taekook.
zFrosteey_,"RT @lucianobraz: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bonner…",Neutro,
JulioBenevenuti,"RT @lucianobraz: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bonner…",Neutro,Brasil
jotacarricondo,RT @radardamidia: No Jornal Nacional assistimos a uma entrevista feita a um candidato à Presidência da República ou a uma caçada feita por…,Neutro,"Presidente Prudente, Brasil"
MarioCarabalone,"RT @oiluiz: Bonner e Renata pediram pro Bolsonaro não mostrar a cartilha do kit gay pq ""tem crianças assistindo"". 

E assim, na prática e s…",Neutro,"Cascais, Portugal"
pfvrthu,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,"Macaé, Brasil"
ruisouza50,"RT @Camzthay: Mano, EU ODEIO O BOLSONARO

Mas amo meu país.
E em 2015 prometi pra mim mesma q votaria em candidato que:

-Não fosse citado…",Positivo,Macapá Amapá 
quepanca,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,recife
VanCsgomes,"RT @professorigor: ""Estamos em 2021 candidato, não precisa citar o passado""
#BolsonaroNoJornalNacional https://t.co/HCq27LEcCk",Neutro,"São Paulo, Brasil"
faelaolveira,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,"Casimiro de Abreu, Brasil"
yeolidle,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",Negativo,
Wellingtonlui32,"RT @Pedro_henriqz: Nao tenho vergonha de ser gay e apoiar o bolsonaro, eu vim de uma família tradicional brasileira, e apoio esses valores…",Positivo,
celsorenato5,"RT @MatheusfRomero: Então a Globo precisou censurar o livro que seria mostrado para crianças nas escolas? Interessante...
#BolsonaroNoJorna…",Positivo,Estados Unidos
MaluKashio,"RT @Lesbicando1995: bolsonaro é a favor da tortura e armamento, racista, machista, homofóbico, despreza a cultura indígena, quer limitar qu…",Negativo,"Manaus, Brasil"
mizaum_puzzi,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",Positivo,"Itápolis, Brasil"
Bellybelly99Isa,"RT @PPortalUrach: Você irá votar em Jair Bolsonaro?

SIM - FAV 
NÃO - RT 

#BolsonaroNoJornalNacional https://t.co/2JZbdF96xU",Neutro,
